#{"t_start": 1781067216.554743, "env_id": "None"}
r,l,t
-0.96824586,17,592.505402
-51.0,256,592.526493
0.85009193,72,592.879573
-12.284655,126,593.779392
-0.8772293,60,594.308151
-57.0,256,594.384697
-41.0,256,594.872522
-50.0,256,595.149305
-0.94991773,26,595.376767
-18.621866,158,595.573643
-63.0,256,596.476541
-12.344495,147,596.838794
-0.89921844,50,596.921967
-53.0,256,597.005296
-48.0,256,597.594766
-14.646505,150,598.207143
-96.0,256,598.993679
-82.0,256,599.178326
-0.96420306,19,599.370959
-1.0625,32,599.87797
-60.0,256,599.998658
-60.0,256,600.650451
-16.75,113,600.878289
-25.332682,143,601.28736
-34.0,256,601.536471
-84.4375,208,602.567783
-0.9581069,22,602.804114
-0.96420306,19,602.966022
-22.0,256,603.232512
-40.53229,201,603.389001
-39.0,256,603.649207
-29.637377,153,604.679347
-63.55806,207,604.923281
-26.32396,140,605.009368
0.9270248,37,612.284502
-81.0,256,612.763136
-19.25,113,613.281091
-49.369755,222,613.722784
-0.875,61,613.906583
-14.0,256,614.195137
0.8408515,76,614.493838
-0.89921844,50,614.920059
-14.0,256,614.99961
-43.0,256,615.822963
-20.290136,128,615.962806
-63.0,256,616.290072
-1.9100138,45,616.666392
-45.0,256,617.15667
-0.9822646,10,617.241077
0.9457966,28,617.456317
-45.0,256,618.008063
-49.0,256,618.20032
-29.875,253,618.936154
-32.726185,122,619.312777
-42.0,256,648.161584
0.95197165,25,648.360437
-73.0,256,648.710791
-4.850092,72,649.298523
-44.484123,197,649.382596
-40.0,256,649.512617
0.9270248,37,649.67338
-23.0,256,650.420088
0.9822646,10,650.501418
-72.0,256,651.181558
-18.0,256,651.339775
-2.9228015,39,651.419344
-60.0,256,651.463063
0.91001374,45,651.713979
0.85467464,70,651.846048
0.82205915,84,651.857874
-17.0,256,652.171691
0.61871845,159,652.881753
-79.0,256,653.504374
-75.0,256,653.62742
-58.0,256,653.908341
-0.95197165,25,654.092005
-54.0,256,654.678448
0.81009257,89,654.693106
-1.9762812,13,654.77567
-0.9662266,18,654.890792
-58.0,256,655.193301
0.8705243,63,655.302344
-42.0,256,655.334252
-25.81968,85,655.899708
-0.9601432,21,656.05115
-47.347984,226,656.220837
-64.0,256,663.216868
-26.0,256,663.323391
-0.92280143,39,663.617854
0.96217525,20,663.771289
-41.24206,242,664.113455
-63.108253,254,664.352333
-17.713589,236,664.9534
-87.0,256,665.548925
-47.0,256,665.760298
-30.0,256,665.980918
-28.434038,175,666.037839
0.6731456,141,666.954497
-71.0,256,667.218683
-23.0,256,667.462081
-64.0,256,667.803632
-0.92491555,38,668.050687
0.9702609,16,668.174032
-10.0,256,668.744408
-36.0,256,669.142679
-1.9802742,11,669.234041
-19.0,256,669.442623
0.85695684,69,669.926504
-37.225346,244,670.041542
-39.480072,198,670.640144
-21.0,256,670.667295
-11.338562,145,670.904972
0.9291293,36,671.110376
-0.98821175,7,671.168162
-2.7071068,129,671.441498
0.96420306,19,671.549786
-16.0,256,671.685393
-0.9901862,6,671.724771
-16.0,256,672.240304
-58.0,256,672.782944
0.8267973,82,672.800758
-23.462355,183,672.914368
-27.0,256,673.204253
-20.637377,153,673.813598
-0.9540211,24,673.974996
-11.0,256,674.430007
-25.0,256,674.538046
0.7905694,97,674.551016
-44.0,256,674.844121
-18.757772,110,675.269939
0.9354144,33,675.483417
-91.0,256,676.141722
-37.0,256,676.262369
-32.0,256,682.843511
-0.85467464,70,682.886252
0.81009257,89,683.121196
-1.8125,88,683.47827
-27.0,256,683.510835
0.9722718,15,683.618578
-11.649519,149,684.511401
-16.0,256,684.610738
-26.0,256,684.895385
-18.883884,57,684.987196
0.7730823,104,685.223861
0.99608606,3,685.249353
0.9802742,11,685.318373
-27.861504,67,685.357215
-27.0,256,685.38704
-0.881671,58,685.401807
-0.96824586,17,685.50368
0.881671,58,685.897817
0.7730823,104,686.187618
-9.0,256,687.328992
-30.0,256,687.429601
-0.035796963,19,687.586557
-23.0,256,687.759773
-33.0,256,688.028107
-0.6614378,145,689.06889
-79.0,256,689.195932
-18.0,256,689.433576
-0.91429615,43,689.518563
-2.8705242,63,689.566856
-10.0,256,689.655084
-13.881671,58,689.996632
-0.85467464,70,690.017537
-0.9762812,13,690.102666
-0.7315437,120,690.963572
-35.619827,220,691.177433
-44.0,256,691.492407
0.0,256,691.773576
-30.571522,210,692.445106
-58.0,256,693.096686
-33.0,256,693.478788
-0.93958104,31,693.696168
-0.8125,88,693.770318
-5.0,256,693.799903
-19.0,256,694.434526
-1.2396547,109,694.596325
0.84779125,73,695.083952
-34.67524,230,695.345056
-58.742306,240,695.475106
-46.0,256,696.211612
0.0,256,696.917116
-6.0,256,697.147023
-40.0,256,697.305605
-0.8315084,80,697.488744
-23.0,256,704.668685
-29.589624,168,705.110977
-17.0,256,705.593295
-27.0,256,705.901983
-42.0,256,706.437116
-23.0,256,706.858881
-29.0,256,707.354615
-16.440983,177,707.661454
-26.0,256,707.661511
-15.107322,53,708.0887
0.9802742,11,708.195677
0.72078514,124,708.670947
-41.0,256,708.816543
0.90571105,47,709.009445
0.97827977,12,709.100745
-9.0,256,709.293084
-9.12277,60,709.51884
-18.0,256,710.140396
-21.515388,189,710.224292
-23.0,256,711.218326
-38.0,256,711.460289
-0.94991773,26,711.638442
0.89704376,51,712.190759
-71.0,256,712.190826
-20.0,256,712.296757
-0.98425096,9,712.374986
-39.336575,228,713.171326
-1.6987712,132,713.396631
0.92280143,39,713.436807
-23.0,256,714.147009
-34.0,256,714.147068
-0.89267856,53,714.510561
-9.0,256,715.227155
-17.0,256,715.277503
-24.0,256,715.888771
-25.0,256,716.28603
-59.4306,174,716.444791
-0.93958104,31,716.686172
-82.0,256,717.244944
0.8660254,65,717.311758
-3.1899073,89,718.037846
-36.0,256,718.037934
-0.92491555,38,718.345132
-36.0,256,718.508543
-0.9013878,49,718.767612
